Country,Year,Month,Temp,Humidity,Rain_fall,wind_speed
Viet Nam,1914,2,20.9679,85,34.6085,1.7
Viet Nam,1914,3,22.5045,84,43.9191,1.7
Viet Nam,1914,4,25.6753,83,65.5633,1.5
Viet Nam,1914,5,27.3677,77,152.696,1.5
Viet Nam,1914,6,26.9035,71,267.062,1.6
Viet Nam,1914,7,27.0663,80,277.608,1.5
Viet Nam,1914,8,26.4538,78,233.846,1.4
Viet Nam,1914,9,25.8293,82,189.752,1.4
Viet Nam,1914,10,24.3534,86,248.902,1.6
Viet Nam,1914,11,22.4094,86,124.785,1.7
Viet Nam,1914,12,20.9227,88,98.4724,1.5
Viet Nam,1915,1,19.7414,87,11.1021,1.6
Viet Nam,1915,2,21.5297,83,8.03026,1.6
Viet Nam,1915,3,22.3597,85,45.8907,1.8
Viet Nam,1915,4,25.8695,80,52.4092,1.5
Viet Nam,1915,5,26.4653,80,156.143,1.7
Viet Nam,1915,6,27.2969,74,241.656,2.5
Viet Nam,1915,7,26.8358,76,298.222,2.8
Viet Nam,1915,8,26.9775,78,280.642,2.9
Viet Nam,1915,9,25.8434,81,269.17,1.3
Viet Nam,1915,10,25.2105,87,345.662,1.4
Viet Nam,1915,11,22.2299,85,117.615,1.6
Viet Nam,1915,12,19.5096,85,94.2882,1.4
Viet Nam,1916,1,18.9564,84,20.1506,1.6
Viet Nam,1916,2,20.463,85,12.4169,1.6
Viet Nam,1916,3,22.0107,84,66.9244,1.8
Viet Nam,1916,4,25.4573,83,50.0665,1.5
Viet Nam,1916,5,27.0004,77,161.311,1.7
Viet Nam,1916,6,26.8282,71,269.343,2.5
Viet Nam,1916,7,27.0423,80,194.574,2.8
Viet Nam,1916,8,26.8892,78,219.406,2.9
Viet Nam,1916,9,25.9188,82,335.736,1.3
Viet Nam,1916,10,24.2556,86,197.402,1.4
Viet Nam,1916,11,21.7417,86,91.5741,1.6
Viet Nam,1916,12,19.7609,88,47.9915,1.4
Viet Nam,1917,1,18.8209,86,23.9796,1.6
Viet Nam,1917,2,20.164,85,8.5481,1.7
Viet Nam,1917,3,21.0427,84,35.0203,1.7
Viet Nam,1917,4,25.1675,81,48.9509,1.5
Viet Nam,1917,5,26.5491,77,130.391,1.5
Viet Nam,1917,6,26.7358,73,230.82,1.6
Viet Nam,1917,7,26.6752,71,286.253,1.5
Viet Nam,1917,8,26.4568,82,259.477,1.4
Viet Nam,1917,9,25.9243,82,296.054,1.4
Viet Nam,1917,10,24.4013,84,274.979,1.6
Viet Nam,1917,11,22.1639,82,216.404,1.7
Viet Nam,1917,12,19.336,82,56.4445,1.5
Viet Nam,1918,1,17.9119,86,16.1549,1.1
Viet Nam,1918,2,19.5917,85,28.7493,1.3
Viet Nam,1918,3,21.7097,84,45.0492,1.6
Viet Nam,1918,4,24.6076,81,65.6988,1.6
Viet Nam,1918,5,26.18,77,229.856,1.4
Viet Nam,1918,6,26.7117,73,250.671,1.4
Viet Nam,1918,7,27.279,71,247.453,1.4
Viet Nam,1918,8,26.4162,82,289.637,1.4
Viet Nam,1918,9,26.384,82,299.911,1.2
Viet Nam,1918,10,25.0389,84,269.011,1.1
Viet Nam,1918,11,22.7141,82,137.181,1
Viet Nam,1918,12,21.4196,82,53.4269,0.9
Viet Nam,1919,1,20.1148,87,8.2541,1.6
Viet Nam,1919,2,20.4996,83,16.1876,1.7
Viet Nam,1919,3,23.4725,85,25.1618,1.7
Viet Nam,1919,4,25.9429,80,54.0424,1.5
Viet Nam,1919,5,27.0922,80,160.836,1.5
Viet Nam,1919,6,27.2809,74,212.827,1.6
Viet Nam,1919,7,26.971,76,252.769,1.5
Viet Nam,1919,8,26.9791,78,343.243,1.4
Viet Nam,1919,9,25.7586,81,201.547,1.4
Viet Nam,1919,10,24.3741,87,165.403,1.6
Viet Nam,1919,11,22.2408,85,149.833,1.7
Viet Nam,1919,12,20.4771,85,45.7515,1.5
Viet Nam,1920,1,18.9345,84,21.3448,1.6
Viet Nam,1920,2,20.1344,85,21.7186,1.6
Viet Nam,1920,3,22.329,84,41.243,1.8
Viet Nam,1920,4,25.1469,83,73.286,1.5
Viet Nam,1920,5,26.9748,77,173.623,1.7
Viet Nam,1920,6,27.1841,71,179.505,2.5
Viet Nam,1920,7,27.1981,80,284.524,2.8
Viet Nam,1920,8,26.778,78,275.898,2.9
Viet Nam,1920,9,26.3178,82,345.219,1.3
Viet Nam,1920,10,24.2482,86,234.579,1.4
Viet Nam,1920,11,23.028,86,168.775,1.6
Viet Nam,1920,12,20.5506,88,108.356,1.4
Viet Nam,1921,1,19.4093,86,44.802,1.1
Viet Nam,1921,2,20.2278,85,36.9018,1.3
Viet Nam,1921,3,22.3285,84,88.0249,1.6
Viet Nam,1921,4,25.6957,81,46.7199,1.6
Viet Nam,1921,5,26.6225,77,219.701,1.4
Viet Nam,1921,6,27.2872,73,194.638,1.4
Viet Nam,1921,7,26.724,71,275.73,1.4
Viet Nam,1921,8,26.9869,82,312.522,1.4
Viet Nam,1921,9,25.6677,82,286.605,1.2
Viet Nam,1921,10,24.3904,84,185.596,1.1
Viet Nam,1921,11,21.9224,82,84.5353,1
Viet Nam,1921,12,20.8419,82,41.2094,0.9
Viet Nam,1922,1,20.322,86,30.5491,1.6
Viet Nam,1922,2,21.8673,85,17.1872,1.7
Viet Nam,1922,3,21.9689,84,52.9871,1.7
Viet Nam,1922,4,25.6623,81,58.2854,1.5
Viet Nam,1922,5,27.7169,77,122.198,1.5
Viet Nam,1922,6,27.4566,73,218.006,1.6
Viet Nam,1922,7,26.8105,71,314.528,1.5
Viet Nam,1922,8,26.9306,82,275.673,1.4
Viet Nam,1922,9,26.2717,82,274.662,1.4
Viet Nam,1922,10,24.6882,84,154.45,1.6
Viet Nam,1922,11,21.9891,82,148.52,1.7
Viet Nam,1922,12,20.0261,82,63.0568,1.5
Viet Nam,1923,1,20.0508,87,23.836,1.6
Viet Nam,1923,2,20.1509,83,17.9395,1.6
Viet Nam,1923,3,22.7063,85,38.0408,1.8
Viet Nam,1923,4,25.103,80,111.672,1.5
Viet Nam,1923,5,26.2262,80,177.523,1.7
Viet Nam,1923,6,26.584,74,284.311,2.5
Viet Nam,1923,7,26.6768,76,243.543,2.8
Viet Nam,1923,8,26.3067,78,261.543,2.9
Viet Nam,1923,9,26.2835,81,242.814,1.3
Viet Nam,1923,10,24.8983,87,243.241,1.4
Viet Nam,1923,11,23.3649,85,140.774,1.6
Viet Nam,1923,12,21.0676,85,60.634,1.4
Viet Nam,1924,1,20.4724,84,75.3609,1.6
Viet Nam,1924,2,20.9607,85,16.0587,1.6
Viet Nam,1924,3,22.3698,84,33.8549,1.8
Viet Nam,1924,4,25.2037,83,63.8053,1.5
Viet Nam,1924,5,27.4779,77,185.087,1.7
Viet Nam,1924,6,27.1136,71,294.418,2.5
Viet Nam,1924,7,26.5077,80,348.074,2.8
Viet Nam,1924,8,26.8958,78,307.497,2.9
Viet Nam,1924,9,26.8418,82,180.908,1.3
Viet Nam,1924,10,24.6827,86,221.077,1.4
Viet Nam,1924,11,22.9255,86,84.6819,1.6
Viet Nam,1924,12,20.0691,88,35.7835,1.4
Viet Nam,1925,1,18.9411,86,30.9026,1.1
Viet Nam,1925,2,19.2842,85,6.90479,1.3
Viet Nam,1925,3,21.9655,84,87.2118,1.6
Viet Nam,1925,4,23.7746,81,80.6658,1.6
Viet Nam,1925,5,26.9247,77,168.791,1.4
Viet Nam,1925,6,26.9689,73,240.679,1.4
Viet Nam,1925,7,27.1998,71,258.031,1.4
Viet Nam,1925,8,27.2379,82,190.62,1.4
Viet Nam,1925,9,26.3273,82,251.569,1.2
Viet Nam,1925,10,24.1456,84,176.49,1.1
Viet Nam,1925,11,23.0768,82,112.602,1
Viet Nam,1925,12,19.7553,82,52.3399,0.9
Viet Nam,1926,1,20.0756,87,20.9913,1.6
Viet Nam,1926,2,20.6115,83,34.6956,1.7
Viet Nam,1926,3,22.0303,85,53.8812,1.7
Viet Nam,1926,4,26.0876,80,42.5275,1.5
Viet Nam,1926,5,27.571,80,126.572,1.5
Viet Nam,1926,6,27.0669,74,294.301,1.6
Viet Nam,1926,7,27.279,76,293.742,1.5
Viet Nam,1926,8,26.6134,78,345.663,1.4
Viet Nam,1926,9,26.5832,81,304.312,1.4
Viet Nam,1926,10,23.9948,87,233.424,1.6
Viet Nam,1926,11,22.8009,85,126.608,1.7
Viet Nam,1926,12,20.6531,85,78.2989,1.5
Viet Nam,1927,1,19.9111,84,10.4273,1.6
Viet Nam,1927,2,20.4462,85,36.0575,1.6
Viet Nam,1927,3,21.9545,84,34.6698,1.8
Viet Nam,1927,4,24.5236,83,99.8502,1.5
Viet Nam,1927,5,26.5067,77,201.222,1.7
Viet Nam,1927,6,27.1421,71,261.271,2.5
Viet Nam,1927,7,27.1265,80,294.837,2.8
Viet Nam,1927,8,27.0664,78,259.195,2.9
Viet Nam,1927,9,25.8663,82,278.555,1.3
Viet Nam,1927,10,24.4299,86,290.49,1.4
Viet Nam,1927,11,23.2177,86,118.582,1.6
Viet Nam,1927,12,21.5092,88,41.2015,1.4
Viet Nam,1928,1,21.6696,86,11.933,1.6
Viet Nam,1928,2,19.9237,85,74.4238,1.6
Viet Nam,1928,3,23.2143,84,22.9793,1.8
Viet Nam,1928,4,25.4788,81,75.3933,1.5
Viet Nam,1928,5,27.3239,77,221.521,1.7
Viet Nam,1928,6,26.9926,73,218.528,2.5
Viet Nam,1928,7,27.3613,71,269.136,2.8
Viet Nam,1928,8,27.1713,82,310.459,2.9
Viet Nam,1928,9,26.4035,82,224.501,1.3
Viet Nam,1928,10,23.1739,84,170.813,1.4
Viet Nam,1928,11,21.6339,82,118.471,1.6
Viet Nam,1928,12,21.6945,82,37.7867,1.4
Viet Nam,1929,1,21.1592,87,32.5601,1.1
Viet Nam,1929,2,21.159,83,51.1332,1.3
Viet Nam,1929,3,21.7178,85,35.4047,1.6
Viet Nam,1929,4,24.7681,80,65.4184,1.6
Viet Nam,1929,5,28.0372,80,197.306,1.4
Viet Nam,1929,6,27.5993,74,212.383,1.4
Viet Nam,1929,7,27.1015,76,307.946,1.4
Viet Nam,1929,8,27.1095,78,246.803,1.4
Viet Nam,1929,9,26.1626,81,304.67,1.2
Viet Nam,1929,10,24.8516,87,207.602,1.1
Viet Nam,1929,11,21.9665,85,96.4646,1
Viet Nam,1929,12,21.83,85,123.939,0.9
Viet Nam,1930,1,17.9775,84,20.1321,1.6
